,Company Name,Job Role,Salary,Job Decription,Department,Required Exp,posted_date,web_link
972,experionglobal,API Microservice Developer,NA,,General / Other Software,4 to 9 Yrs," Oct 09, 2020
                                ",https://www.shine.com/jobs/api-microservice-developer/experionglobal/11037533/
973,VST TRAVEL SOLUTIONS PVT LTD,Manager Sales & marketing ( L2 ),NA,"Manager Sales & marketing ( L2 )  Locations: TRIVANDRUM , COCHIN , CALICUT  Main Purpose of role: Run the sales office with full accountability for results and people whilst advancing the service standards of the Company and abiding by company policy and statutory legislation.  Reporting to: Chief Marketing officer  Key Responsibilities Profitability of the branch. Drive the sales team at a pace that will deliver results whilst leading from the front and personally delivering a targeted number. Setting daily targets and monitoring performance and team meetings. Carrying out monthly 1- 2- 1 reviews and bi- annual appraisals. Coaching, training and developing the team. Carry out a targeted number of valuations per week to generate a targeted number of instructions at no less than 55% conversion. Maintaining a sales report. Negotiating the sale of software, device, and advertisement space to the best advantage of the vendor. Ensuring the appropriate and timely use of all marketing material. Generating valuations through leafleting, touting and canvassing. Maintaining the office profile through advertising, websites, standards and Board presence and develop market share. Being aware of market conditions and trends. Ensuring instructions are set up correctly and the customer s requirements are exceeded. Maintaining high fees and presence. Supporting additional services by passing a targeted number of financial. Services and convincing leads branch and personal. Selling all company services strongly and ethically example surveys. Selling our company services to generate new and repeat business. Keeping records of all activity. Taking and preparation of property details. Producing weekly reporting statistics. Sales progressing deals to completion and dealing with difficult customers on behalf of team. Ensuring all viewings are followed up. Ensuring regular feedback is provided to vendors and all offers are structured with pipeline control. Setting up and ensuring all office systems and company policies are adhered to Responsibility for Health & Safety in the office. Ensuring all written communication is appropriate, accurate and follows our Standards. Providing content for newspaper advertising and online advertising of client. Properties on the portals. Identifying any PR opportunities. Monitoring and maintaining the company s reputation and upholding the company s values and culture. Dealing with complaints. Dealing with all corporate and repossession business.,",Sales / BD,5 to 10 Yrs," Oct 09, 2020
                                ",https://www.shine.com/jobs/manager-sales-marketing-l2/vst-travel-solutions-pvt-ltd/10199426/
974,Freelancer Praveen Sukumar Hiring For Hotel Sun City Resort,Hiring for Fire and Safety Officer,Rs 4.5  - 7 Lakh/Yr,"Hi,Hiring For All IndiaSalary - 40k to 75k per monthRole: Fire Safety OfficerJob Description :-Lead and participate in the duties of the fire fighting and Islands rescue team.-Inspect, test and maintain fire and safety mobile detection and protection systems / equipment and life saving appliance.-Provide guidance and stretch effective supervision on Fire & Safety Technicians and Fire Watch Technicians and Emergency Response Intervention Team in all fire watch activities and ensure Compliance with the safety requirements during normal & critical activities.-Closely monitor performance of all critical life safety equipment & assume responsibility on necessary replenishment, refurbishment, Phasing out and introduction of new requirements & necessary budget controlling.-Effectively assume the role of a Fire Chief leading Fire Fighting & Rescue Emergency Response Team during drills, exercise and real emergencies including Oil Spills Mitigation's.For any clarifications or to clear about job, feel free to call at:- 7056385021 (Arnav)Mail id- hrdavjobs@outlook.com Regards,HR TEAM",Occupational Health / Safety,0 to 2 Yrs," Oct 09, 2020
                                ",https://www.shine.com/jobs/hiring-for-fire-and-safety-officer/freelancer-praveen-sukumar/10994279/
975,Founding Minds Software Pvt Ltd,Angular Developer,NA, Experience required ,General / Other Software,2 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/angular-developer/founding-minds-software-pvt-ltd/10635526/
976,Founding Minds Software Pvt Ltd,Cross Platform Mobile Developer,NA,"FoundingMinds Software Pvt. Ltd. - Nurturing Ideas www.foundingminds.com About the role Job Title - Cross Platform Mobile Developer Job Location - Thiruvananthapuram Primary responsibility is to Design and builds applications for the iOS and Android platform. Responsible for collaborating with a team to define, design, and ship new features.Skills Hybrid AppIOSAndroidFlutterXamarinReact nativeExperience required A minimum of 3 years relevant work experience is required. Hands- on experience in a full life cycle of mobile application development for the Android and iOS platforms. Expertise in cross- platform mobile app development using Flutter/ Xamarin/ React native Deep knowledge of best practices for mobile app design. Experience with Android and iOS frameworks Understanding of Android and iOS design principles and interface guidelines. Working knowledge on Material Design Experience using remote data via REST and JSON. Expertise in deploying hybrid applications across IOS App Store and Google Play App Store. Strong analytical, problem- solving skills, must be able to work well with teams. Be curious and open- minded. A team focused, with a good sense of humour. Strong communication and interpersonal skills. Flexible and willing to accept a change in priorities as necessary. Experience working in a distributed team environment and in Agile Methodology. Support the entire application lifecycle (concept, design, test, release, and support). Produce fully functional mobile applications writing clean code. Gather specific requirements and suggest solutions. Write unit and UI tests to identify malfunctions. Troubleshoot and debug to optimize performance. Design interfaces to improve user experience. Liaise with the Product development team to plan new features. Stay up- to- date with new technology trends. Proficient understanding of code versioning tools, such as Git Closing Date 22 August 2018 FoundingMinds Software Pvt. Ltd. Founding Minds is a group of passionate entrepreneurs and technologists with a clear vision, commitment, experience and capital to help bootstrap ideas to launch and to transform established companies and divisions with the adoption of latest technologies. Apply with Facebook Apply with LinkedIn Name is RequiredEnter a valid EmailPhone Number United States United Kingdom Albania (Shqip ri) American Samoa Antigua and Barbuda Austria ( sterreich) Azerbaijan (Az rbaycan) Belgium (Belgi ) Benin (B nin) Bosnia and Herzegovina ( ) Brazil (Brasil) British Indian Ocean Territory British Virgin Islands Burkina Faso Burundi (Uburundi) Cameroon (Cameroun) Cape Verde (Kabu Verdi) Caribbean Netherlands Cayman Islands Central African Republic (R publique centrafricaine) Chad (Tchad) Christmas Island Cocos (Keeling) Islands Congo (DRC) (Jamhuri ya Kidemokrasia ya Kongo) Congo (Republic) (Congo- Brazzaville) Cook Islands Costa Rica C te d Ivoire Croatia (Hrvatska) Cura ao Czech Republic ( esk republika) Denmark (Danmark) Dominican Republic (Rep blica Dominicana) El Salvador Equatorial Guinea (Guinea Ecuatorial) Estonia (Eesti) Falkland Islands (Islas Malvinas) Faroe Islands (F royar) Finland (Suomi) French Guiana (Guyane fran aise) French Polynesia (Polyn sie fran aise) Germany (Deutschland) Ghana (Gaana) Greenland (Kalaallit Nunaat) Guinea (Guin e) Guinea- Bissau (Guin Bissau) Hong Kong ( ) Hungary (Magyarorsz g) Iceland ( sland) Isle of Man Italy (Italia) Latvia (Latvija) Lithuania (Lietuva) Macedonia (FYROM) ( ) Madagascar (Madagasikara) Marshall Islands Mauritius (Moris) Mexico (M xico) Moldova (Republica Moldova) Montenegro (Crna Gora) Mozambique (Mo ambique) Myanmar (Burma) ( ) Namibia (Namibi ) Netherlands (Nederland) New Caledonia (Nouvelle- Cal donie) New Zealand Niger (Nijar) Norfolk Island North Korea ( ) Northern Mariana Islands Norway (Norge) Panama (Panam ) Papua New Guinea Peru (Per ) Poland (Polska) Puerto Rico R union (La R union) Romania (Rom nia) Saint Barth lemy Saint Helena Saint Kitts and Nevis Saint Lucia Saint Martin (Saint- Martin (partie fran aise)) Saint Pierre and Miquelon (Saint- Pierre- et- Miquelon) Saint Vincent and the Grenadines San Marino S o Tom and Pr ncipe (S o Tom e Pr ncipe) +239 Saudi Arabia ( ) Senegal (S n gal) Sierra Leone Sint Maarten Slovakia (Slovensko) Slovenia (Slovenija) Solomon Islands Somalia (Soomaaliya) South Africa South Korea ( ) South Sudan ( ) Spain (Espa a) Sri Lanka ( ) Svalbard and Jan Mayen Sweden (Sverige) Switzerland (Schweiz) Timor- Leste Trinidad and Tobago Turkey (T rkiye) Turks and Caicos Islands U.S. Virgin Islands United Arab Emirates ( ) Uzbekistan (O zbekiston) Vatican City (Citt del Vaticano) Vietnam (Vi t Nam) Wallis and Futuna (Wallis- et- Futuna) Western Sahara ( ) land Islands Enter a Phone Number Enter a valid Phone NumberEnter a valid Experience as digit ,",General / Other Software,3 to 8 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/cross-platform-mobile-developer/founding-minds-software-pvt-ltd/10747676/
977,Founding Minds Software Pvt Ltd,Senior Android Developer,NA," We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential. Overall Experience - 4 to 8 years    Experience required ",General / Other Software,4 to 8 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/senior-android-developer/founding-minds-software-pvt-ltd/10635524/
978,Founding Minds Software Pvt Ltd,Dot NET Developer,NA,"If you are passionate about the . NET framework and software design/ architecture, wed like to meet you. Your goal will be to design, develop and maintain the software. You will create applications from scratch, configure the existing systems and provide user support. As part of this role, you should be able to write functional codes with a sharp eye for spotting errors and issues. You need to be a team player and an excellent communicator. Skills MICROSOFT . NET VBSCRIPT ACTIVE SERVER PAGES HTML XML SQL SERVER IIS VISUAL STUDIO MSMQ IBM MQ SERIES (WEBSPHERE)  MS SQL SERVER 2008/ 2014 (SQLT- SQL/ SQL STORED PROCEDURES)  VISUAL SOURCE SAFE TEAM FOUNDATION SERVERExperience required . Net Developer with 3+ years experience.  Working knowledge of Net Framework 3. 5/ 4. 0/ 4. 5.  Must have knowledge in C#, ASP. NET, ASP. NET MVC, Web Services, HTML5 and Javascript.  Experience in OOPS design principles, layered/ tier architecture.  Knowledge in SQL Server with experience in writing queries.  Have done or been involved in the analysis of requirements.  Collaborated with internal teams in software design and architecture, writing clean and scalable codes using . NET programming languages.  Tested and deployed applications and systems.  Revised, updated, refactored and debugged codes.  Improved existing software.  Developed documentation throughout the software development life cycle (SDLC) .  Served as an expert on applications and provided technical support. ",General / Other Software,3 to 8 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/dot-net-developer/founding-minds-software-pvt-ltd/10214196/
979,Founding Minds Software Pvt Ltd,Angular Developer,NA,"We are looking for experienced developers to be part of our talented software team that works closely with designers, develop, implement and maintain the user interface of our web app. You will be responsible for applications development while providing expertise in the full software development lifecycle, from concept and design to testing.
Skills JavaScript
HTML
CSS
Angular
RESTful API
Experience required 
Experience in writing tested, idiomatic, and documented JavaScript, HTML and CSS. 
Cooperating with the back-end developer in the process of building the RESTful API. 
Strong problem solving and analytical capabilities. 
Strong communication skills 
Curious and open-minded personality passionate to work in multiple technologies 
At least 3 years experience in Angular 2+. 
Most importantly (s)he should have a good humour sense 
Design and develop components in Angular to support various web application efforts. 
Experience with TypeScript supporting Angular development. 
Adhere to design guidelines and standards for all the work undertaken. 
Implement stellar user experiences, responsive layouts to minimise load time. 
Work closely with designers and marketers to swiftly ship new front-end experiments. 
Write modular, secure, and well-tested front-end code in JS, HTML, and CSS using latest web technologies. 
Deliver a complete front-end application. 
Implement front-end experience using wireframes, user flows, process flows and sitemaps to bring to life interaction and design ideas. 
Work on bug fixing and improving application performance.,",General / Other Software,3 to 8 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/angular-developer/founding-minds-software-pvt-ltd/10214202/
980,experionglobal,BI & Analytics Lead,NA,Job Location: Kochi Trivandrum  Experience: 10 to 15 years,General / Other Software,10 to 15 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/bi-analytics-lead/experionglobal/10917023/
981,experionglobal,Dot Net Developer,NA, Duties and Responsibilities ,General / Other Software,5 to 10 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/dot-net-developer/experionglobal/10917571/
982,experionglobal,UI Developer,NA, Mandatory Skills ,Web Design,2 to 5 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/ui-developer/experionglobal/10903045/
983,experionglobal,Dot Net Developer with Azure,NA, .Net Developer with Azure Experience  Skills Mandatory  .Net Developer with Azure Experience  Skills Primary  Work Location  Trivandrum  Qualification  Total Experience  5+ yrs  Relevant Experience  Duties and Responsibilities ,General / Other Software,5 to 10 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/dot-net-developer-with-azure/experionglobal/10924663/
984,experionglobal,Data Engineer,NA,,IT Operations / EDP / MIS,3 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/data-engineer/experionglobal/10431214/
985,experionglobal,Data Scientist,NA,,Statistics / Analytics,7 to 10 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/data-scientist/experionglobal/10431215/
986,experionglobal,BI Engineer,NA,,DBA / Datawarehousing,3 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/bi-engineer/experionglobal/10431218/
987,Sevens Enterprises Pvt Ltd,F& B Managers,NA,"Urgent : 2 F& B Managers in 5 / 4 star Hotels & Resorts in Trivandrum- 35k 
Kochi/ Trivandrum Exp:5 to 7 yr ,",General / Other Software,8 to 13 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/f-b-managers/sevens-enterprises-pvt-ltd/10180041/
988,Sevens Enterprises Pvt Ltd,Sales Manager,NA,"Urgent: 4 Sales Managers in 4/ 5 Star Resorts in Kochi & Trivandrum- - - 50k 
Kochi & Trivandrum Exp:10 year,",Marketing / Communication,10 to 12 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/sales-manager/sevens-enterprises-pvt-ltd/10179978/
989,Sevens Enterprises Pvt Ltd,Admission Counselors/Overseas Education Counselors,NA," EXPERIENCE:  1-7 yr experience as a counselor Should have excellent Canvassing skills Communication skills  The candidate should be an energetic, enthusiastic and creative individual with good negotiation skills.  Candidate must have excellent communication skills and a pleasing personality and be able to provide course information in a formal and efficient manner with a welcoming tone. ,",General / Other Software,1 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/admission-counselorsoverseas-education-counselors/sevens-enterprises-pvt-ltd/10991111/
990,Nishana Consultancy,Customer Service Executive,NA,"Position : Customer Service Executive  Company : Passport Office  Location : All Kerala  Qualification : Any Degree Passout( Non IT) 50% Mark  Salary : 9200 / - SAT & SUN Holiday  Job Details:  Report to the Team Lead / CSM.  Resolve customer queries and issues.  Ensure quality of services delivered.  Escalate customer issues for quick resolution.  Execute activities to meet the service period SLAs  Facebook Login ,",Customer Service (Domestic),2 to 5 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/customer-service-executive/nishana-consultancy/10220496/
991,Nishana Consultancy,Admin Executive,NA,"Qualification : Any Degree , 3 - 4 years exp in general admin activities in customer interfacing / retail organization 
Salary : 15000 / - SAT & SUN Holiday 
Job Details: 
General Administration Handling day to day activities Housekeeping - Ensuring cleanliness in PSK Procurement of Stationery and other items and ensuring minimum fill. Security coordination with the security partner Coordinating the travel arrangements and logistics support for the officials and arrangement of accommodation Processing of Invoices of Vendors Good Communication , presentation and interpersonal skills , Good Personality & Customer service skills. Proficient in English and local language Computer Savvy , Ms Office Should understand admin work in terms of logitstics management / purchase orders / reconciliation / vendor management etc,",General / Other Software,3 to 5 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/admin-executive/nishana-consultancy/10220620/
992,Seeyon Animation,R & D Programmer,NA,"Solid grasp of Maya , its internals and troubleshooting Should be proficient in MEL , Python and MySQL. Knowledge of C++ , JSP , PHP and Qt framework will be a plu,",General / Other Software,2 to 7 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/r-d-programmer/seeyon-animation/10169721/
993,Universal Oleoresins,Sales Executive - Retail,NA,"1
Sales Executive - Retail
Kerala
Min 2 years,",Pre-Sales,2 to 7 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/sales-executive-retail/universal-oleoresins/10199907/
994,EJOBS HR SOLUTIONS,Software Engineer web application Fresher,NA,"Job Description   Good knowledge in development and maintenance of web application based on ASP.NET and C# technologies.  The candidate should be a good team player and should have excellent project development skills. Qualifications   B.tech, MCA  ,",General / Other Software,1 to 4 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/software-engineer-web-application-fresher/ejobs-hr-solutions/10774309/
995,EJOBS HR SOLUTIONS,Software Engineer Web Application,NA,Job Description  ,General / Other Software,3 to 7 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/software-engineer-web-application/ejobs-hr-solutions/10774310/
996,EJOBS HR SOLUTIONS,SEO Manager,NA,Job Description,Sales / BD,5 to 9 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/seo-manager/ejobs-hr-solutions/10774311/
997,EJOBS HR SOLUTIONS,SEO ANALYST,NA,Qualifications  ,Web / Mobile Technologies,3 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/seo-analyst/ejobs-hr-solutions/10774312/
998,EJOBS HR SOLUTIONS,SEO ANALYST,NA,Job Description  ,Web / Mobile Technologies,3 to 6 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/seo-analyst/ejobs-hr-solutions/10774313/
999,EJOBS HR SOLUTIONS,Software Tester,NA,"Job Description   As a Software Development Tester you will be responsible for all aspects of software testing.  Working within the development team, you will: ",General / Other Software,3 to 7 Yrs," Oct 08, 2020
                                ",https://www.shine.com/jobs/software-tester/ejobs-hr-solutions/10774308/
1000,Roots Multiclean Ltd.,Territory Sales Executive,NA,,Sales / BD,2 to 5 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/territory-sales-executive/roots-multiclean-ltd/10933686/
1001,Roots Multiclean Ltd.,Territory Sales Executive,NA,,General / Other Software,2 to 5 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/territory-sales-executive/roots-multiclean-ltd/10972415/
1002,experionglobal,UX Designer,NA,,Web / Mobile Technologies,15 to 18 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/ux-designer/experionglobal/10917632/
1003,experionglobal,Senior NodeJS Developer,NA," Experion Technologies is looking for a Senior NodeJS Developer, he/she should have at least five to seven years of experience in the design, development, and maintenance of NodeJS applications.  Also requires knowledge of the principles, methods, and techniques used in all phases of development of RESTful Web API service. Experience in database design, and development. Experience with both SQL and No SQL databases is desirable. Design and development of authentication and authorization in Web applications. It is desirable that he/she has knowledge of serverless backends, cloud functions, docker, CI/CD pipelines, and cloud infrastructure. Experience in Firebase is desirable. Experience with the Google cloud platform or Amazon Web Services is desirable.  Technical Skills required: ",Web / Mobile Technologies,4 to 9 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/senior-nodejs-developer/experionglobal/10922949/
1004,experionglobal,Sr.Software Engineer/Lead Engineer,NA,,General / Other Software,3 to 5 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/srsoftware-engineerlead-engineer/experionglobal/10951042/
1005,experionglobal,Automation Test Engineer,NA," Responsible for delivering innovative, compelling, coherent software solutions for our consumer, internal operations and value chain constituents across a wide variety of enterprise applications through the creation of discrete business services and their supporting components. Maintains automation test suite by adding new automation tests as necessary and translating requirements and/or specifications into automation test cases. Executes automation tests, analyzes test results, reports findings, and debugs automation tool or script failures.  ESSENTIAL DUTIES AND RESPONSIBILITIES:  Translates requirements into functional and technical test cases and implements them for thorough test coverage.  Creates integration tests which ensure application functionality, including up- and down-stream interfaces.  Uses testing frameworks to ensure quality software solutions. Provides feedback on how frameworks can be improved or extended.  Utilizes familiarity with frameworks and/or tools such as Robot, Cucumber, Watir, SoapUI, etc. to build automated tests.  Analyzes test case failures to identify points of failure in complex product features and capabilities. Identifies and addresses relevant edge-case scenarios to ensure each is handled properly.  Collaborates with other technical teams by assisting in troubleshooting complex technical or end-user scenarios.  Adheres to coding and testing standards. Follows established best practices. Advises peers for their code reviews and advises on coding standards. 8. Performs other duties and projects as assigned.  EDUCATION/ EXPERIENCE : ",General / Other Software,2 to 7 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/automation-test-engineer/experionglobal/10961124/
1006,experionglobal,Data Scientist,NA,,DBA / Datawarehousing,7 to 10 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/data-scientist/experionglobal/10916830/
1007,experionglobal,Technology Lead / Associate Software Architect / Software Architect,NA, Experience Requirements: ,General / Other Software,8 to 12 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/technology-lead-associate-software-architect-software-architect/experionglobal/10951040/
1008,experionglobal,Data Engineer,NA,,IT Operations / EDP / MIS,3 to 7 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/data-engineer/experionglobal/10917828/
1009,experionglobal,Business Analyst,NA," Excellent communication skills Should be able to interface with the client, discuss business requirements with different stakeholders of the project. Excellent client-facing and internal written and verbal communication skills  Analysis Skills Exceptional analytical and problem-solving skills. Should be able to analyze business problems faced by the client and suggest solutions for the problem. Ability to go into details and extract specific details regarding functional requirements.  Determines operational objectives by studying business functions; gathering information; evaluating output requirements and formats.  Designs new business workflows by analyzing requirements; constructing workflow charts and diagrams; studying system capabilities; writing specifications.  Improves systems by studying current practices, designing modifications.  Recommends controls by identifying problems, writing improved procedures.  Documentation Skill Should be an expert in documenting the requirements gathered from the client in a detailed manner. Essential to have knowledge in preparing business process flowcharts using tools. Knowledge in preparing Functional, Business, and System Requirement Specification documentation. Knowledge in creating wireframes using prototyping or wireframing tools are important.  Capability to interface with Software Development, Quality Control / Testing, UI design teams to cover all aspects of the Requirement Specification Documentation.  Testing Skills Experience in preparation of Business Scenario Test Cases and actual manual testing of business applications. Must have managed User Acceptance Testing and taken a system live.  Client Testing Assistance Should be able to perform the User Acceptance testing assistance.  Working knowledge of Database management systems. Ability to write queries and work with the back-end data.  Basic Technical knowledge about IT applications is desirable.  Experience in developing user documentation, providing business support, and training users. Should have good presentation skills.  Ability to Travel to client sites (overseas/domestic) for short medium duration (1 week to 2 months) ,",General / Other Software,5 to 8 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/business-analyst/experionglobal/11021100/
1010,experionglobal,MS Dynamics 365 + .Net C Developer,NA, Location: Trivandrum (preferred) / Kochi  Experience: 5 to 12 Years  Qualification: B-Tech / MCA ,General / Other Software,5 to 12 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/ms-dynamics-net-c-developer/experionglobal/10986049/
1011,experionglobal,Sr . Software Engineer / Lead Engineer,NA,,General / Other Software,3 to 7 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/sr-software-engineer-lead-engineer/experionglobal/10991047/
1012,experionglobal,UI Developer,NA,"As a UI developer, you will be responsible to defining the structure, components, and the presentation layer for web applications in align with the design and user experience defined. Optimize the web pages for maximum efficiency and scalability. Work as a team along with Back end Developers, Graphic Designers & User Experience Designers. Develop pages in line with mobile first and Content Accessibility Guidelines Duties and Responsibilities ",General / Other Software,2 to 5 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/ui-developer/experionglobal/10923375/
1013,experionglobal,BI Engineer,NA,,DBA / Datawarehousing,3 to 7 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/bi-engineer/experionglobal/10924698/
1014,experionglobal,Full Stack Sr. Developer,NA, Experience  : 5 to 8 Years  Qualification: B-Tech / MCA  Technical Skill Requirements: ,General / Other Software,5 to 8 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/full-stack-sr-developer/experionglobal/11001511/
1015,APTARA INC.,Sr. Project Manager,NA,"Posting Title: Sr. Project Manager Location: Trivandrum / Pune , India Duration: Full Time Description: Senior Project Manager Job Purpose: A Senior Project Manager needs to accomplish project objectives by planning and evaluating project activities. The Senior Project Manager will have overall project responsibility and accountability in terms of Budget / Revenue , Planning , Tracking , Monitoring , Controlling and Execution. Comprehend and implement organizational project policies and procedures. Establish and maintain project quality.  Responsibilities:  Leading and managing a cross - functional team on e - learning and mobile training / apps. Supervising team and Project Managers for project delivery and practice improvement. Monitoring the allocation of resources across projects. Ensuring compliance to standards (ISO , CMMi & Practice). Tracking and controlling client and team metrics. Ensuring client delight and building working relationships with the clients. Enhancing profitability , revenue , margins , and utilization across projects.  Manage the day - to - day operational and tactical aspects of multiple projects. Prepare SOW s / RFP s and budgets. Create and maintain project plans in Aptara s ERP Celoxis Allocate resources and track resource utilization with Aptara s ERP Celoxis. Identify projects to be outsourced , identify appropriate vendors and manage all activities for the  completion of the project. Identify , track , manage and mitigate project risks / issues. Define and collect metrics. Manage scope and follow the change management process. To maintain the targeted Gross Profit Margins across all projects. Determine appropriate revenue recognition and ensure accurate invoicing. Planning , monitoring , appraising , and reviewing job contributions , implementing policies and  procedures. Ensure quality and accuracy of technical approach , complying with the company s standards  and that the projects are delivered on time and in budget. Client Engagement:  Client engagement on regular basis on the status of the multiple projects. Ensure effective client communication.  Establish specific customer satisfaction standards and actively monitor client satisfaction. Plan and act on customer feedback activities. Facilitate the definition of service levels and customer requirements. Interact regularly with  existing or potential clients to determine their needs and to develop plans for improving delivery. Advocate on behalf of clients and represent clients' needs as appropriate to senior management. Work cross - functionally to solve problems and implement changes.  Client and account management: Manage existing clients and mine for new accounts. Quality , Testing and Excellence:  Participate in the design and / or testing phases. Review deliverables across all projects. Determine , rectify and verify actions to control non - conforming products. Plan and implement corrective / preventive measures for improvement.  Conduct team appraisals , one - to - one meetings , identify training needs , and motivate the team to perform well.  Prepare and review MIS reports for discussion with the senior management. To share project learnings / best practices through knowledge sharing sessions or trainings. Create Project Management templates , and implement process improvement initiatives.  Qualifications:  Be a Post Graduate in Management or equivalent and have at least 7 years experience of which at least 4 years should be in e - learning project management , handling multiple assignments simultaneously.  Be proficient in MS Office and Microsoft Projects. Have excellent business analysis skills , negotiation skills , communication skills , and people  management skills. Have hands - on knowledge on technical aspects of software used in e - learning like Flash , HTML ,  HTML5 , Authoring Tools and mobile development. Have strong leadership and practical organizing skills. Have strong interpersonal and consultative and management skills required in managing critical ,",Sales / BD,7 to 12 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/sr-project-manager/aptara-inc/10167197/
1016,APTARA INC.,Sr. Instructional Designer,NA,"Posting Title: Sr. Instructional Designer Location: Trivandrum , India Duration: Full Time Position 
Aptara Learning Private Limited 
Description 
Design and develop sound instructional materials Plan , schedule and manage an e - learning project Develop educational courses (WBT / CBT / ILT) using ISD 
methodology Ensure ISD processes are followed Perform quality assurance reviews of e - learning courseware Systematically analyze , design , develop , and test / revise the 
instructional design solution Ensure that ISD training programs are effective and accomplish 
established terminal objectives Develop and encourage non - traditional solutions to problems / 
challenges Assist in directing ISD development project and priority Train and develop team members Sound knowledge of ID theories and practices Good verbal and written communication , team spirit and people 
management skills 
5 - 8 years of hands - on experience in Instructional Design and project execution in e - learning industry 
ITES / IT Software / Software Services / E - Learning 
Graduate / Post - Graduate in Mass Communication / English / Journalism / Education / Instruction / Science / Engineering ,",General / Other Software,5 to 8 Yrs," Oct 07, 2020
                                ",https://www.shine.com/jobs/sr-instructional-designer/aptara-inc/10167194/
